 0 "2748 4627 3267 1594 1664 403 3866 327 2092 1345"
0 1 4422
1 8 "1357 4583"
2 14 "2574 1739 2597 194 3030 3246 2087 3142"
3 23 "3197 535 4122 3241"
4 25 1169
5 29 3241
6 30 3857
7 33 4422
8 37 "4086 42 250 2130 539 1236"
9 47 "3264 1760 3064 40 377 4339 1373 637"
10 49 930
11 54 24
12 58 442
13 60 2092
14 62 24
15 64 "3914 436"
16 67 4153
17 70 "2291 1170"
18 73 1013
19 75 3667
20 76 1999
21 78 3197
22 80 "223 378 1802 906 793 2364 4464 4748 2577 1600"
23 86 "997 4373"
24 88 417
25 93 "1256 3241"
26 94 "396 3450 3034"
27 98 838
28 99 1122
29 102 "3871 1505 4548 4523"
30 109 "3713 4401 2920 4103 1954 4274 4748 2305 1578 1953 2289 3999 4562 4306 1894 3866 930"
31 110 "1405 1596"
32 111 "4395 378 2873"
33 112 "2590 1085 1835 2517 4345 3048 326 3197 1340 2153"
34 116 "826 2148 1218 839 3698 522 628 1332 4548 765 3999 1179"
35 120 4744
36 127 "4159 1239"
37 129 378
38 132 "3307 3241 2805 3252 2794 24"
39 134 3464
40 135 "3026 3604 3972 997 4422 4072 3196 3670 2850"
41 136 "4755 2789"
42 139 4166
43 144 "1324 1879"
44 145 "3011 3795 3378 2219"
45 146 24
46 147 "893 1540"
47 148 3831
48 152 "3154 3103 587 2542 4072 2873 1763 4519 4017 1179"
49 157 "2657 632 803 3478"
50 159 4449
51 163 2473
52 164 3264
53 167 "4511 4206 4423"
54 168 "535 1359"
55 169 "4614 501 2163 4113 2624"
56 173 "3787 1056 4467 3507"
57 174 "421 1757"
58 175 711
59 177 3810
60 178 "3328 3932 3383"
61 181 4176
62 187 "600 2527 4158 378 3972 78"
63 188 3034
64 191 3948
65 192 "8 2807 1775 4720 2657 163"
66 194 3241
67 195 2816
68 200 2740
69 201 375
70 205 "1578 2364 4266 4465 1476"
71 208 1203
72 212 "1203 1575 2577 4548"
73 213 "3667 1578 790 2392"
74 215 2159
75 218 "4165 2351 693"
76 219 "3787 436 3921 4203 1118 375 3254 1508"
77 220 "1434 3797"
78 221 3114
79 223 352
80 230 "378 4422 3664"
81 231 3488
82 232 787
83 236 "625 1189 2884 1879 1699 947 74 160 4423 4068 4206 2152"
84 237 "2239 2484 2188 3567 2921 3109 4751"
85 238 "1254 2039 337 1945 535 3534 2219 1566 2577 2382 2148"
86 239 "3160 2542 2971 1326 3875 4309 3963 4756 1375 3904 4460 3353 9 4324 2793 4043 4548 2118 3565 1867"
